,name,year,imdb,number_votes,age_rating,runtime,genres,actors
0,Stranger Things,(2016– ),8.8,696983,14,51,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, Natalia Dyer"
1,Westworld,(2016– ),8.7,371983,16,62,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton"
2,Demolidor,(2015–2018),8.6,341150,18,54,"Action, Crime, Drama","Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson"
3,Narcos,(2015–2017),8.8,315111,16,49,"Biography, Crime, Drama","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann"
4,Mr. Robot: Sociedade Hacker,(2015–2019),8.5,302330,16,49,"Crime, Drama, Thriller","Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström"
5,Better Call Saul,(2015– ),8.7,266742,14,46,"Crime, Drama","Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian"
6,Os 13 Porquês,(2017– ),7.8,230335,16,60,"Drama, Mystery","Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe"
7,La Casa de Papel,(2017– ),8.5,183251,16,70,"Action, Crime, Mystery","Úrsula Corberó, Itziar Ituño, Álvaro Morte, Pedro Alonso"
8,Jessica Jones,(2015–2019),8.0,183147,16,56,"Action, Crime, Drama","Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss"
9,The Witcher,(2019– ),8.5,180642,16,474,"Action, Adventure, Drama","Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni"
10,Lúcifer,(2015– ),8.2,178852,16,42,"Crime, Drama, Fantasy","Tom Ellis, Lauren German, Kevin Alejandro, Lesley-Ann Brandt"
11,Caçador de Mentes,(2017– ),8.6,172096,16,60,"Crime, Drama, Thriller","Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"
12,O Justiceiro,(2017–2019),8.5,162264,18,53,"Action, Adventure, Crime","Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore"
13,Dark,(2017– ),8.7,156494,16,60,"Crime, Drama, Mystery","Karoline Eichhorn, Louis Hofmann, Jördis Triebel, Maja Schöne"
14,O Conto da Aia,(2017– ),8.5,144715,16,60,"Drama, Sci-Fi, Thriller","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd"
15,A Maldição da Residência Hill,(2018– ),8.7,135418,16,50,"Drama, Horror, Mystery","Henry Thomas, Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti"
16,Big Little Lies,(2017– ),8.5,130000,16,60,"Crime, Drama, Mystery","Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz"
17,Sense8,(2015–2018),8.3,128737,18,60,"Drama, Mystery, Sci-Fi","Doona Bae, Jamie Clayton, Tina Desai, Tuppence Middleton"
18,The Boys,(2019– ),8.8,123277,18,60,"Action, Comedy, Crime","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty"
19,Ozark,(2017– ),8.3,119266,16,60,"Crime, Drama, Thriller","Jason Bateman, Laura Linney, Julia Garner, Sofia Hublitz"
20,The End of the F***ing World,(2017–2019),8.1,116470,16,25,"Adventure, Comedy, Crime","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley"
21,Altered Carbon,(2018– ),8.1,114141,18,60,"Action, Drama, Sci-Fi","Chris Conner, Renée Elise Goldsberry, Joel Kinnaman, James Purefoy"
22,The Mandalorian,(2019– ),8.8,113450,none,30,"Action, Adventure, Sci-Fi","Pedro Pascal, Carl Weathers, Rio Hackford, Gina Carano"
23,Luke Cage,(2016–2018),7.4,109566,16,55,"Action, Crime, Drama","Mike Colter, Simone Missick, Theo Rossi, Alfre Woodard"
24,Taboo,(2017– ),8.5,106394,none,59,"Drama, Mystery, Thriller","Tom Hardy, David Hayman, Jonathan Pryce, Oona Chaplin"
25,Punho de Ferro,(2017–2018),6.5,106189,18,55,"Action, Adventure, Crime","Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey"
26,Fear the Walking Dead,(2015– ),6.9,104650,16,44,"Drama, Horror, Sci-Fi","Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades"
27,Supergirl,(2015– ),6.3,103516,12,43,"Action, Adventure, Drama","Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks"
28,The Crown,(2016– ),8.7,101214,16,58,"Drama, History","Claire Foy, Olivia Colman, Matt Smith, Tobias Menzies"
29,Riverdale,(2017– ),7.1,99696,14,45,"Crime, Drama, Mystery","K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse"
30,One Punch Man,(2015– ),8.8,96163,12,24,"Animation, Action, Comedy","Makoto Furukawa, Kaito Ishikawa, Max Mittelman, Zach Aguilar"
31,Você,(2018– ),7.8,91664,16,45,"Crime, Drama, Romance","Penn Badgley, Ambyr Childers, Elizabeth Lail, Victoria Pedretti"
32,The Umbrella Academy,(2019– ),8.0,90202,16,60,"Action, Adventure, Comedy","Ellen Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman"
33,This Is Us,(2016– ),8.7,85374,14,45,"Comedy, Drama, Romance","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz"
34,Sex Education,(2019– ),8.3,85137,16,45,"Comedy, Drama","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey"
35,Lendas do Amanhã,(2016– ),6.8,84887,none,42,"Action, Adventure, Drama","Caity Lotz, Brandon Routh, Amy Louise Pemberton, Dominic Purcell"
36,The Expanse,(2015– ),8.5,83355,14,60,"Drama, Mystery, Sci-Fi","Steven Strait, Cas Anvar, Dominique Tipper, Wes Chatham"
37,The OA,(2016–2019),7.9,81183,16,60,"Drama, Fantasy, Mystery","Brit Marling, Jason Isaacs, Scott Wilson, Alice Krige"
38,Making a Murderer,(2015– ),8.6,80438,none,60,"Documentary, Crime","Dolores Avery, Steven Avery, Laura Nirider, Ken Kratz"
39,O Bom Lugar,(2016– ),8.1,79768,12,22,"Comedy, Drama, Fantasy","Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden"
40,Legião,(2017–2019),8.3,77201,16,60,"Action, Drama, Sci-Fi","Dan Stevens, Rachel Keller, Aubrey Plaza, Bill Irwin"
41,Segurança em Jogo,(2018– ),8.2,76792,16,60,"Crime, Drama, Thriller","Richard Madden, Sophie Rundle, Vincent Franklin, Ash Tandon"
42,Star Trek: Discovery,(2017– ),7.4,75947,12,60,"Action, Adventure, Drama","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman"
43,O Homem do Castelo Alto,(2015–2019),8.0,75262,18,60,"Drama, Sci-Fi, Thriller","Alexa Davalos, Luke Kleintank, Rufus Sewell, Rupert Evans"
44,"Amor, Morte & Robôs",(2019– ),8.6,73866,18,15,"Animation, Short, Comedy","Scott Whyte, Nolan North, Matthew Yang King, Michael Benyaer"
45,Jack Ryan,(2018– ),8.1,72907,14,60,"Action, Drama, Thriller","John Krasinski, Wendell Pierce, John Hoogenakker, Abbie Cornish"
46,American Crime Story,(2016– ),8.4,72196,14,42,"Biography, Crime, Drama","Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi"
47,Agente Carter da Marvel,(2015–2016),7.9,68721,none,42,"Action, Adventure, Sci-Fi","Hayley Atwell, James D'Arcy, Enver Gjokaj, Chad Michael Murray"
48,Designated Survivor,(2016–2019),7.6,67434,16,60,"Action, Drama, Mystery","Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn"
49,Deuses Americanos,(2017– ),7.9,67211,18,60,"Drama, Fantasy, Mystery","Ricky Whittle, Emily Browning, Crispin Glover, Yetide Badaki"
50,The Sinner,(2017– ),8.0,65364,16,45,"Crime, Drama, Mystery","Bill Pullman, Dohn Norwood, Jessica Biel, Christopher Abbott"
51,Jogos Sagrados,(2018– ),8.8,63432,18,50,"Action, Crime, Drama","Saif Ali Khan, Nawazuddin Siddiqui, Neeraj Kabi, Aamir Bashir"
52,O Gerente da Noite,(2016),8.1,62992,none,358,"Crime, Drama, Mystery","Hugh Laurie, Tom Hiddleston, Elizabeth Debicki, Olivia Colman"
53,Preacher,(2016–2019),8.0,62758,16,60,"Adventure, Drama, Fantasy","Dominic Cooper, Joseph Gilgun, Ruth Negga, Ian Colletti"
54,Perdidos no Espaço,(2018– ),7.2,62287,14,60,"Adventure, Drama, Family","Molly Parker, Toby Stephens, Maxwell Jenkins, Taylor Russell"
55,Ponto Cego,(2015– ),7.4,62276,14,42,"Action, Crime, Drama","Sullivan Stapleton, Jaimie Alexander, Rob Brown, Audrey Esparza"
56,Ash vs Evil Dead,(2015–2018),8.5,60261,18,30,"Action, Comedy, Fantasy","Bruce Campbell, Ray Santiago, Dana DeLorenzo, Lucy Lawless"
57,Billions,(2016– ),8.4,60219,16,60,Drama,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile"
58,Master of None,(2015– ),8.3,60158,16,30,Comedy,"Aziz Ansari, Eric Wareheim, Lena Waithe, Noël Wells"
59,Killing Eve,(2018– ),8.3,59692,18,42,"Action, Adventure, Drama","Sandra Oh, Jodie Comer, Fiona Shaw, Kim Bodnia"
60,O Último Reino,(2015– ),8.3,58980,14,60,"Action, Drama, History","Alexander Dreymon, Ian Hart, David Dawson, Eliza Butterworth"
61,Maravilhosa Sra. Maisel,(2017– ),8.8,58714,none,57,"Comedy, Drama","Rachel Brosnahan, Michael Zegen, Marin Hinkle, Tony Shalhoub"
62,Limitless,(2015–2016),7.7,58558,none,42,"Comedy, Crime, Drama","Jake McDorman, Jennifer Carpenter, Hill Harper, Mary Elizabeth Mastrantonio"
63,Unbreakable Kimmy Schmidt,(2015–2019),7.7,58242,none,30,"Comedy, Drama","Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane"
64,The Grand Tour,(2016– ),8.7,57891,none,60,"Comedy, Talk-Show","Jeremy Clarkson, James May, Richard Hammond, Abbie Eaton"
65,O Mundo Sombrio de Sabrina,(2018– ),7.7,56789,16,60,"Drama, Fantasy, Horror","Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo"
66,iZombie,(2015–2019),7.9,56750,none,42,"Comedy, Crime, Drama","Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley"
67,Quantico,(2015–2018),6.7,55515,none,42,"Crime, Drama, Mystery","Priyanka Chopra, Jake McLaughlin, Johanna Braddy, Aunjanue Ellis"
68,Fleabag,(2016–2019),8.7,54039,16,27,"Comedy, Drama","Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford"
69,The Orville,(2017– ),8.0,52998,none,44,"Adventure, Comedy, Drama","Seth MacFarlane, Adrianne Palicki, Penny Johnson Jerald, Scott Grimes"
70,Titãs,(I) (2018– ),7.9,52373,18,45,"Action, Adventure, Crime","Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter"
71,Boneca Russa,(2019– ),7.9,51929,16,30,"Adventure, Comedy, Drama","Natasha Lyonne, Charlie Barnett, Greta Lee, Elizabeth Ashley"
72,Watchmen,(2019– ),8.0,51820,16,60,"Action, Drama, Mystery","Regina King, Yahya Abdul-Mateen II, Tom Mison, Sara Vickers"
73,As Crônicas de Shannara,(2016–2017),7.2,51564,none,42,"Adventure, Fantasy, Sci-Fi","Austin Butler, Ivana Baquero, Manu Bennett, Aaron Jakubenko"
74,Santa Clarita Diet,(2017–2019),7.8,50991,16,30,"Comedy, Horror","Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo"
75,The Good Doctor: O Bom Doutor,(2017– ),8.2,50809,12,41,Drama,"Freddie Highmore, Nicholas Gonzalez, Antonia Thomas, Hill Harper"
76,O Último Cara da Terra,(2015–2018),7.3,49861,none,22,"Action, Comedy, Drama","Will Forte, January Jones, Cleopatra Coleman, Kristen Schaal"
77,Wayward Pines,(2015–2016),7.4,49846,14,60,"Drama, Mystery, Sci-Fi","Siobhan Fallon Hogan, Toby Jones, Shannyn Sossamon, Hope Davis"
78,Lemony Snicket: Desventuras em Série,(2017–2019),7.8,49260,12,50,"Adventure, Comedy, Drama","Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes"
79,Caçadores de Sombras,(2016–2019),6.6,48055,none,42,"Action, Drama, Fantasy","Katherine McNamara, Dominic Sherwood, Alberto Rosende, Matthew Daddario"
80,Twin Peaks: O Retorno,(2017),8.5,47936,16,60,"Crime, Drama, Fantasy","Kyle MacLachlan, Sheryl Lee, Michael Horse, Chrysta Bell"
81,Atypical,(2017– ),8.3,47458,14,30,"Comedy, Drama","Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine, Michael Rapaport"
82,After Life,(2019– ),8.4,46723,none,30,"Comedy, Drama","Ricky Gervais, Tom Basden, Tony Way, Diane Morgan"
83,Big Mouth,(2017– ),8.0,45178,16,30,"Animation, Comedy, Romance","Nick Kroll, John Mulaney, Jessi Klein, Jenny Slate"
84,Atlanta,(2016– ),8.6,43570,18,30,"Comedy, Drama, Music","Donald Glover, Brian Tyree Henry, LaKeith Stanfield, Zazie Beetz"
85,Manhunt,(II) (2017– ),8.1,41595,none,60,"Crime, Drama","Sam Worthington, Jeremy Bobb, Ben Weber, Chris Noth"
86,Narcos: Mexico,(2018– ),8.4,41393,none,50,"Crime, Drama","Diego Luna, Scoot McNairy, Teresa Ruiz, Michael Peña"
87,Bloodline,(2015–2017),8.0,40224,none,60,"Drama, Thriller","Kyle Chandler, Ben Mendelsohn, Linda Cardellini, Sissy Spacek"
88,Travelers,(2016–2018),8.1,39496,none,45,"Drama, Mystery, Sci-Fi","Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Abrahamson"
89,Cobra Kai,(2018– ),8.8,38236,16,30,"Action, Comedy, Drama","Xolo Maridueña, Ralph Macchio, William Zabka, Courtney Henggeler"
90,Escola de Magia,(2015– ),7.6,38205,none,60,"Drama, Fantasy, Mystery","Jason Ralph, Stella Maeve, Hale Appleman, Arjun Gupta"
91,Into the Badlands,(2015–2019),8.0,37975,none,42,"Action, Adventure, Drama","Daniel Wu, Orla Brady, Emily Beecham, Aramis Knight"
92,Dirk Gently's Holistic Detective Agency,(2016–2017),8.3,37625,14,60,"Action, Adventure, Comedy","Samuel Barnett, Elijah Wood, Hannah Marks, Jade Eshete"
93,12 Macacos,(2015–2018),7.7,37312,none,42,"Adventure, Drama, Mystery","Aaron Stanford, Amanda Schull, Noah Bean, Barbara Sukowa"
94,Dark Matter,(2015–2017),7.5,36871,none,42,"Adventure, Drama, Mystery","Melissa O'Neil, Anthony Lemke, Alex Mallari Jr., Jodelle Ferland"
95,(Des)encanto,(2018– ),7.2,36471,14,30,"Animation, Action, Adventure","Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio"
96,Empire: Fama e Poder,(2015– ),7.4,36446,14,42,"Drama, Music","Terrence Howard, Taraji P. Henson, Jussie Smollett, Bryshere Y. Gray"
97,GLOW,(2017– ),8.0,35667,16,35,"Comedy, Drama, Sport","Alison Brie, Marc Maron, Betty Gilpin, Britt Baron"
98,Ballers,(2015–2019),7.6,35207,16,30,"Comedy, Drama, Sport","Dwayne Johnson, John David Washington, Omar Benson Miller, Donovan W. Carter"
99,O Mecanismo,(2018– ),8.5,34701,16,41,"Crime, Drama, Thriller","Caroline Abras, Selton Mello, Enrique Diaz, Jonathan Haagensen"
100,Euphoria,(2019– ),8.4,34408,16,55,Drama,"Zendaya, Maude Apatow, Angus Cloud, Eric Dane"
101,Máquina Mortífera,(2016–2019),7.9,33537,none,44,"Action, Comedy, Crime","Damon Wayans, Keesha Sharp, Kevin Rahm, Michelle Mitchenor"
102,Humans,(2015–2018),8.0,33506,none,42,"Drama, Sci-Fi","Katherine Parkinson, Gemma Chan, Lucy Carless, Tom Goodman-Hill"
103,Love,(2016–2018),7.7,33340,none,50,"Comedy, Drama, Romance","Gillian Jacobs, Paul Rust, Claudia O'Doherty, Mike Mitchell"
104,Barry,(2018– ),8.3,33135,16,30,"Action, Comedy, Crime","Bill Hader, Stephen Root, Sarah Goldberg, Anthony Carrigan"
105,Timeless,(2016–2018),7.7,32754,none,60,"Action, Adventure, Drama","Abigail Spencer, Matt Lanter, Malcolm Barrett, Paterson Joseph"
106,Scream Queens,(2015–2016),7.1,32459,16,45,"Comedy, Horror, Mystery","Emma Roberts, Lea Michele, Abigail Breslin, Keke Palmer"
107,The Terror,(2018– ),8.0,32305,16,60,"Adventure, Drama, History","Jared Harris, Derek Mio, Tobias Menzies, Kiki Sukezane"
108,Carnival Row,(2019– ),8.0,32210,none,56,"Crime, Drama, Fantasy","Orlando Bloom, Cara Delevingne, Simon McBurney, Tamzin Merchant"
109,Castle Rock,(2018– ),7.6,31892,16,60,"Drama, Fantasy, Horror","Bill Skarsgård, André Holland, Melanie Lynskey, Jane Levy"
110,Grace and Frankie,(2015– ),8.3,31534,none,30,Comedy,"Jane Fonda, Lily Tomlin, Sam Waterston, Martin Sheen"
111,Pânico: A Série de TV,(2015– ),7.2,31507,16,45,"Crime, Drama, Horror","Willa Fitzgerald, Bex Taylor-Klaus, John Karna, Carlson Young"
112,O Alienista,(2018),7.7,31203,16,60,"Drama, Mystery","Daniel Brühl, Dakota Fanning, Luke Evans, Brian Geraghty"
113,Disque Amiga para Matar,(2019– ),8.1,30623,16,30,"Comedy, Drama","Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins"
114,The Young Pope,(2016),8.4,30519,none,546,Drama,"Jude Law, Diane Keaton, Silvio Orlando, Javier Cámara"
115,O Rancho,(2016– ),7.5,29174,14,30,"Comedy, Drama, Western","Ashton Kutcher, Sam Elliott, Grady Lee Richmond, Elisha Cuthbert"
116,Goliath,(2016– ),8.2,29124,none,60,Drama,"Billy Bob Thornton, Tania Raymonde, Nina Arianda, Diana Hopper"
117,The Gifted,(2017–2019),7.4,28850,none,43,"Action, Drama, Fantasy","Stephen Moyer, Amy Acker, Sean Teale, Natalie Alyn Lind"
118,Feliz!,(2017–2019),8.3,28629,18,60,"Action, Comedy, Crime","Christopher Meloni, Ritchie Coster, Lili Mirojnick, Patton Oswalt"
119,O Atirador,(2016–2018),7.5,28072,none,60,"Action, Drama","Ryan Phillippe, Shantel VanSanten, Cynthia Addai-Robinson, Omar Epps"
120,Jovem Sheldon,(2017– ),7.3,27221,none,30,Comedy,"Iain Armitage, Zoe Perry, Lance Barber, Montana Jordan"
121,Final Space,(2018– ),8.4,27142,16,30,"Animation, Action, Adventure","Fred Armisen, Tom Kenny, Olan Rogers, Tika Sumpter"
122,Castlevania,(2017– ),8.1,26935,16,23,"Animation, Action, Adventure","Richard Armitage, James Callis, Graham McTavish, Alejandra Reynoso"
123,O Último Guardião,(2018– ),7.0,26892,14,40,"Action, Fantasy, Sci-Fi","Çagatay Ulusoy, Hazar Ergüçlü, Okan Yalabik, Ayça Aysin Turan"
124,Colony,(2016–2018),7.4,26624,none,42,"Action, Adventure, Drama","Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Tory Kittles"
125,See,(2019– ),7.6,26284,none,60,"Action, Drama, Sci-Fi","Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo"
126,Sneaky Pete,(2015–2019),8.2,26126,none,60,"Crime, Drama","Giovanni Ribisi, Marin Ireland, Shane McRae, Libe Barer"
127,Elite,(2018– ),7.6,25757,18,60,"Crime, Drama, Thriller","Itzan Escamilla, Miguel Bernardeau, Álvaro Rico, Arón Piper"
128,His Dark Materials: Fronteiras do Universo,(2019– ),8.0,25617,16,60,"Adventure, Drama, Family","Dafne Keen, Kit Connor, Amir Wilson, Andrew Scott"
129,Skam,(2015–2017),8.7,24956,none,30,"Drama, Romance","Josefine Frida Pettersen, Lisa Teige, Iman Meskini, Ulrikke Falch"
130,Schitt's Creek,(2015– ),8.3,24414,none,22,Comedy,"Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy"
131,Vândalo Americano,(2017–2018),8.2,24090,16,34,"Comedy, Crime, Drama","Tyler Alvarez, Griffin Gluck, Jimmy Tatro, Travis Tope"
132,Safe,(2018),7.3,24036,16,60,"Drama, Mystery","Michael C. Hall, Amy James-Kelly, Amanda Abbington, Freddie Thorp"
133,The Rain,(I) (2018– ),6.3,23717,16,45,"Sci-Fi, Thriller","Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken"
134,F Is for Family,(2015– ),8.0,23683,16,30,"Animation, Comedy, Drama","Bill Burr, Laura Dern, Justin Long, Debi Derryberry"
135,O Exorcista,(2016–2018),8.1,23170,none,45,"Drama, Horror, Mystery","Alfonso Herrera, Ben Daniels, Kurt Egyiawan, Hannah Kasulka"
136,Poldark - Herói de Guerra,(2015– ),8.3,22864,14,60,"Drama, History, Romance","Aidan Turner, Eleanor Tomlinson, Jack Farthing, Beatie Edney"
137,Fuller House,(2016– ),6.8,22572,none,30,"Comedy, Family","Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion"
138,Boku no hîrô akademia,(2016– ),8.5,22259,12,24,"Animation, Action, Adventure","Daiki Yamashita, Justin Briner, Nobuhiko Okamoto, Clifford Chapin"
139,Good Girls,(2018– ),7.9,22128,14,43,"Comedy, Crime, Drama","Christina Hendricks, Retta, Mae Whitman, Reno Wilson"
140,Patrulha do Destino,(2019– ),8.0,22035,none,60,"Action, Adventure, Comedy","Diane Guerrero, April Bowlby, Alan Tudyk, Matt Bomer"
141,The Deuce,(2017–2019),8.1,21420,16,60,Drama,"James Franco, Maggie Gyllenhaal, Lawrence Gilliard Jr., Margarita Levieva"
142,Mirzapur,(2018– ),8.5,21365,none,60,"Action, Crime, Drama","Pankaj Tripathi, Ali Fazal, Vikrant Massey, Divyendu Sharma"
143,Batwoman,(2019– ),3.4,21295,none,45,"Action, Adventure, Crime","Ruby Rose, Camrus Johnson, Rachel Skarsten, Meagan Tandy"
144,Wet Hot American Summer: First Day of Camp,(2015),7.4,21245,14,30,Comedy,"Marguerite Moreau, Zak Orth, Paul Rudd, Michael Showalter"
145,A Descoberta das Bruxas,(2018– ),8.1,21030,none,60,"Drama, Fantasy, Romance","Matthew Goode, Teresa Palmer, Valarie Pettiford, Malin Buska"
146,Inside Look: The People v. O.J. Simpson - American Crime Story,(2016),8.4,20812,none,5,"Documentary, Short","Sarah Paulson, Brad Simpson, Sterling K. Brown, Nina Jacobson"
147,The Morning Show,(I) (2019– ),8.4,20737,16,60,Drama,"Jennifer Aniston, Reese Witherspoon, Billy Crudup, Mark Duplass"
148,Animal Kingdom,(2016– ),8.2,20555,14,60,"Crime, Drama","Ellen Barkin, Shawn Hatosy, Ben Robson, Jake Weary"
149,Fresh Off the Boat,(2015– ),7.8,20452,none,22,Comedy,"Randall Park, Constance Wu, Hudson Yang, Forrest Wheeler"
150,Outra Vida,(2019– ),4.9,20286,16,43,"Adventure, Drama, Mystery","Katee Sackhoff, Blu Hunt, Samuel Anderson, A.J. Rivera"
151,Vinyl,(2016),7.8,20276,none,60,"Drama, Music","Bobby Cannavale, Paul Ben-Victor, P.J. Byrne, Max Casella"
152,Zoo,(2015–2017),6.8,20254,none,42,"Drama, Mystery, Sci-Fi","James Wolk, Kristen Connolly, Nonso Anozie, Billy Burke"
153,Cara Gente Branca,(2017– ),6.2,20100,16,30,"Comedy, Drama","Logan Browning, Brandon P Bell, DeRon Horton, Antoinette Robertson"
154,Victoria,(2016– ),8.2,19970,none,60,"Biography, Drama, History","Jenna Coleman, Adrian Schiller, Jordan Waller, Tommy Knight"
155,The Get Down,(2016–2017),8.3,19968,16,52,"Drama, Music, Musical","Justice Smith, Shameik Moore, Herizen F. Guardiola, Skylan Brooks"
156,Dragon Ball Super,(2015–2018),8.4,19949,none,24,"Animation, Action, Adventure","Masako Nozawa, Naoki Tatsuta, Ryô Horikawa, Sean Schemmel"
157,Boku dake ga inai machi,(2016),8.5,19851,none,30,"Animation, Drama, Fantasy","Ben Diskin, Shinnosuke Mitsushima, Michelle Ruff, Minami Takayama"
158,O Nevoeiro,(2017),5.4,19833,none,42,"Drama, Horror, Sci-Fi","Morgan Spector, Alyssa Sutherland, Gus Birney, Danica Curcic"
159,Insaciável,(2018– ),6.6,19627,none,45,"Comedy, Drama, Thriller","Dallas Roberts, Debby Ryan, Christopher Gorham, Kimmy Shields"
160,Anne with an E,(2017–2019),8.6,19568,12,60,Drama,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela"
161,Succession,(2018– ),8.4,19357,16,60,Drama,"Hiam Abbass, Nicholas Braun, Brian Cox, Kieran Culkin"
162,Fugitivos da Marvel,(2017–2019),7.1,19212,none,60,"Action, Drama, Sci-Fi","Rhenzy Feliz, Lyrica Okano, Virginia Gardner, Ariela Barer"
163,Agentes Espaciais,(2015–2019),7.2,19056,12,42,"Action, Adventure, Sci-Fi","Hannah John-Kamen, Aaron Ashmore, Luke Macfarlane, Tamsen McDonough"
164,College Romance,(2018– ),9.2,19003,none,30,"Comedy, Drama, Romance","Manjot Singh, Apoorva Arora, Keshav Sadhna, Hira Ashar"
165,Vice Principals,(2016–2018),8.0,18831,none,30,Comedy,"Danny McBride, Walton Goggins, Sheaun McKinney, Georgia King"
166,3%,(2016– ),7.4,18517,16,49,"Action, Drama, Sci-Fi","Bianca Comparato, Vaneza Oliveira, Rodolfo Valente, Zezé Motta"
167,Raio Negro,(2018– ),6.2,18486,16,43,"Action, Drama, Sci-Fi","Cress Williams, China Anne McClain, Nafessa Williams, Christine Adams"
168,Cara x Cara,(2019– ),7.3,18323,none,26,"Comedy, Drama","Paul Rudd, Aisling Bea, Desmin Borges, Karen Pittman"
169,Fortitude,(2015–2018),7.4,18285,none,60,"Drama, Horror, Mystery","Richard Dormer, Björn Hlynur Haraldsson, Sienna Guillory, Mia Jexen"
170,O Método Kominsky,(2018– ),8.2,18263,14,30,Comedy,"Michael Douglas, Alan Arkin, Sarah Baker, Nancy Travis"
171,Counterpart,(2017–2019),8.1,18111,none,60,"Drama, Sci-Fi, Thriller","J.K. Simmons, Olivia Williams, Harry Lloyd, Nazanin Boniadi"
172,Superstore: Uma Loja de Inconveniências,(2015– ),7.8,17704,none,22,Comedy,"America Ferrera, Ben Feldman, Lauren Ash, Colton Dunn"
173,Marcella,(2016– ),7.4,17417,none,45,"Crime, Drama, Mystery","Anna Friel, Ray Panthaki, Jack Doolan, Jamie Bamber"
174,Outcast,(2016–2017),7.4,17322,none,60,"Drama, Horror","Patrick Fugit, Philip Glenister, Wrenn Schmidt, Reg E. Cathey"
175,Manifest: O Mistério do Voo 828,(2018– ),7.2,17072,none,43,"Drama, Mystery","Melissa Roxburgh, Josh Dallas, J.R. Ramirez, Luna Blaise"
176,What We Do in the Shadows,(2019– ),8.4,16777,none,30,"Comedy, Fantasy, Horror","Kayvan Novak, Matt Berry, Natasia Demetriou, Harvey Guillén"
177,O Cristal Encantado: A Era da Resistência,(2019– ),8.6,16735,12,60,"Adventure, Drama, Family","Neil Sterenberg, Beccy Henderson, Nathalie Emmanuel, Taron Egerton"
178,Future Man,(2017– ),7.8,16725,none,30,"Action, Adventure, Comedy","Josh Hutcherson, Eliza Coupe, Derek Wilson, Haley Joel Osment"
179,The Good Fight,(2017– ),8.3,16528,16,45,"Crime, Drama","Christine Baranski, Rose Leslie, Cush Jumbo, Delroy Lindo"
180,Yeh Meri Family,(2018– ),9.3,16470,none,30,"Comedy, Drama, Family","Vishesh Bansal, Mona Singh, Akarsh Khurana, Ahan Nirban"
181,Kota Factory,(2019– ),9.2,16418,none,45,"Comedy, Drama","Mayur More, Ranjan Raj, Revathi Pillai, Alam Khan"
182,Flames,(2018– ),9.3,16273,none,20,"Comedy, Drama, Romance","Ritvik Sahore, Tanya Maniktala, Sunakshi Grover, Shivam Kakar"
