,name,year,imdb,number_votes,age_rating,runtime,genres,actors
769,ImMATURE,(2019– ),9.0,2617,none,25,"Comedy, Drama, Romance","Rashmi Agdekar, Omkar Kulkarni, Chinmay Chandraunshuh, Visshesh Tiwari"
770,Into the Dark,(2018– ),6.3,2604,none,90,"Horror, Thriller","Aurora Perrineau, Diane Sellers, Katie Wilson, Tom Bateman"
771,Mosaic,(2018),6.4,2588,none,30,"Crime, Drama, Mystery","Jennifer Ferrin, Frederick Weller, Paul Reubens, Sharon Stone"
772,War of the Worlds,(2019– ),6.1,2569,none,49,"Drama, Mystery, Sci-Fi","Léa Drucker, Gabriel Byrne, Adel Bencherif, Natasha Little"
773,Dickensian,(2015–2016),7.6,2554,none,60,Drama,"Tuppence Middleton, Sophie Rundle, Alexandra Moen, Joseph Quinn"
774,Bhabi Ji Ghar Par Hai,(2015– ),8.4,2553,none,22,Comedy,"Aashif Sheikh, Rohitashv Gour, Saumya Tandon, Shilpa Shinde"
775,Geunyeoneun yeppeodda,(2015),7.8,2549,none,60,"Comedy, Romance","Jeong-eum Hwang, Seo-joon Park, Jun-hee Ko, Si Won Choi"
776,The Hundred Code,(2015),7.4,2548,none,60,Crime,"Michael Nyqvist, Dominic Monaghan, Cecilia Häll, Patrick Brennan"
777,The Carmichael Show,(2015–2017),7.6,2543,none,21,Comedy,"Jerrod Carmichael, Amber Stevens West, Lil Rel Howery, Tiffany Haddish"
778,Kakegurui,(2017– ),7.2,2539,none,24,"Animation, Drama, Mystery","Saori Hayami, Tatsuya Tokutake, Miyuki Sawashiro, Minami Tanaka"
779,Miseuteo Shunshain,(2018– ),8.8,2535,none,80,"Action, Drama, History","Byung-Hun Lee, Tae-ri Kim, Yeon-Seok Yoo, Min-Jung Kim"
780,Northern Rescue,(2019– ),7.1,2528,none,45,"Drama, Family","William Baldwin, Kathleen Robertson, Amalia Williamson, Spencer Macpherson"
781,Glacé,(2016– ),6.3,2528,none,52,"Crime, Drama, Mystery","Charles Berling, Julia Piaton, Pascal Greggory, Nina Meurisse"
782,Çarpisma,(2018–2019),7.7,2525,none,120,"Action, Drama, Thriller","Kivanç Tatlitug, Elçin Sangu, Alperen Duymaz, Melisa Pamuk"
783,Lodge 49,(2018– ),7.5,2524,none,51,"Comedy, Drama","Wyatt Russell, Brent Jennings, Sonya Cassidy, Linda Emond"
784,The Kids Are Alright,(2018–2019),7.7,2521,none,30,Comedy,"Mary McCormack, Jack Gore, Sam Straley, Caleb Foote"
785,Public Morals,(2015),6.9,2512,none,60,"Crime, Drama","Edward Burns, Michael Rapaport, Elizabeth Masucci, Austin Stowell"
786,Grand Hotel,(2019),6.9,2490,none,43,"Crime, Drama, Mystery","Demián Bichir, Roselyn Sanchez, Denyse Tontz, Bryan Craig"
787,Lunatics,(2019– ),6.6,2483,none,35,Comedy,"Chris Lilley, Judi Young, Leena Arora, Dylan Gavasse"
788,Luis Miguel: La Serie,(2018– ),8.1,2483,none,60,"Biography, Drama, Music","Diego Boneta, Óscar Jaenada, Martín Bello, Anna Favella"
789,The Victim,(2019– ),7.7,2480,none,57,Drama,"Isis Hainsworth, Seylan Baxter, Karla Crome, Georgie Glen"
790,Hunters,(2016– ),5.5,2480,none,60,"Crime, Drama, Sci-Fi","Nathan Phillips, Britne Oldford, Mark Coles Smith, Lewis Fitz-Gerald"
791,The Chef Show,(2019– ),8.2,2474,none,30,Documentary,"Jon Favreau, Roy Choi, Aaron Franklin, Andrew Rea"
792,Darling in the Franxx,(2018– ),7.3,2467,none,24,"Animation, Action, Fantasy","Yûto Uemura, Kana Ichinose, Nanami Yamashita, Saori Hayami"
793,Exit,(2019– ),8.3,2463,none,30,Drama,"Simon J. Berger, Agnes Kittelsen, Pål Sverre Hagen, Tobias Santelmann"
794,Guardiões da Galáxia,(2015– ),7.4,2460,none,22,"Animation, Short, Action","Kevin Michael Richardson, Vanessa Marshall, David Sobolov, Will Friedle"
795,Angel from Hell,(2016),6.2,2456,none,30,"Comedy, Fantasy","Jane Lynch, Maggie Lawson, Kyle Bornheimer, Kevin Pollak"
796,Oh Naui Gwishinnim,(2015),8.1,2432,none,60,"Comedy, Drama, Fantasy","Bo-Young Park, Jung-suk Jo, Ju-hwan Lim, Seul-gi Kim"
797,Comrade Detective,(2017– ),7.3,2428,none,40,"Action, Comedy","Channing Tatum, Florin Piersic Jr., Joseph Gordon-Levitt, Corneliu Ulici"
798,The Cool Kids,(2018–2019),7.0,2423,none,22,Comedy,"David Alan Grier, Martin Mull, Leslie Jordan, Vicki Lawrence"
799,Grenseland,(2017– ),6.8,2412,none,60,"Crime, Drama, Thriller","Tobias Santelmann, Ellen Dorrit Petersen, Benjamin Helstad, Eivind Sander"
800,Game of Silence,(2016),7.0,2390,none,60,Drama,"David Lyons, Michael Raymond-James, Larenz Tate, Bre Blair"
801,O Ma-i Bi-neo-seu,(2015–2016),7.9,2387,none,60,"Comedy, Drama, Romance","Ji-seob So, Min-a Shin, Sung Hoon, Henry Lau"
802,The Last O.G.,(2018– ),6.9,2378,none,30,Comedy,"Tracy Morgan, Tiffany Haddish, Allen Maldonado, Ryan Gaul"
803,Nancy Drew,(2019– ),5.6,2377,none,44,Mystery,"Kennedy McMann, Leah Lewis, Maddison Jaizani, Tunji Kasim"
804,Criminal: Alemanha,(2019– ),7.7,2372,none,59,"Crime, Drama","Eva Meckbach, Sylvester Groth, Florence Kasumba, Christian Kuchenbuch"
805,Bekaaboo,(I) (2019– ),8.4,2370,none,20,Thriller,"Rajeev Siddhartha, Priya Banerjee, Madhussneha Upadhyay, Jitendra Hirawat"
806,Dollface,(2019– ),7.4,2368,none,29,Comedy,"Kat Dennings, Brenda Song, Shay Mitchell, Esther Povitsky"
807,Muhtesem Yüzyil: Kösem,(2015–2017),6.2,2352,none,120,"Drama, History, Romance","Hakan Sahin, Sener Savas, Nurgül Yesilçay, Ece Çesmioglu"
808,The New Legends of Monkey,(2018– ),6.6,2348,none,24,"Action, Adventure, Comedy","Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel"
809,Ordem na Casa com Marie Kondo,(2019– ),6.6,2347,Livre,40,Reality-TV,"Marie Iida, Marie Kondo, Jaxon Friend, Kevin Friend"
810,Girls Hostel,(2018– ),8.5,2346,none,23,"Comedy, Drama","Srishti Shrivastava, Parul Gulati, Simran Natekar, Ahsaas Channa"
811,The Young Offenders,(2018– ),8.1,2338,none,30,Comedy,"Alex Murphy, Chris Walley, Hilary Rose, Dominic MacHale"
812,Complications,(2015),7.1,2338,none,42,"Crime, Drama, Thriller","Jessica Szohr, Beth Riesgraf, Gregory Fears, Lauren Stamile"
813,Innan vi dör,(2017– ),7.8,2333,none,60,"Drama, Mystery, Thriller","Marie Richardson, Adam Pålsson, Magnus Krepper, Malgorzata Pieczynska"
814,Now Apocalypse,(2019),6.1,2332,none,30,Comedy,"Avan Jogia, Kelli Berglund, Beau Mirchoff, Roxane Mesquida"
815,Good Morning-Call: Guddo môningu kôru,(2016– ),7.8,2323,none,48,"Comedy, Romance","Haruka Fukuhara, Shun'ya Shiraishi, Moe Arai, Shûgo Nagashima"
816,Fariña,(2018),8.0,2322,none,95,"Crime, Drama, Thriller","Javier Rey, Tristán Ulloa, Antonio Durán 'Morris', Carlos Blanco"
817,Guilt,(2016),6.0,2321,none,60,Drama,"Daisy Head, Emily Tremaine, Cristian Solimeno, Naomi Ryan"
818,La catedral del mar,(2018),7.5,2294,none,55,"Drama, History","Jordi Aguilar, Aitor Luna, Pablo Derqui, Ginés García Millán"
819,Bokudake ga Inai Machi,(2017),7.9,2291,16,30,"Drama, Fantasy, Mystery","Yûki Furukawa, Tomoka Kurotani, Reo Uchikawa, Brenda Joan Wong"
820,Rangbaaz,(2018– ),8.4,2284,none,35,"Action, Biography, Crime","Saqib Saleem, Tigmanshu Dhulia, Ravi Kishan, Ranvir Shorey"
821,Ingobernable,(2017– ),7.2,2280,none,40,"Crime, Drama, Mystery","Kate del Castillo, Leah Allers, Eréndira Ibarra, Alberto Guerra"
822,Söz,(2017–2019),6.8,2273,none,140,"Action, Drama, War","Tolga Saritas, Meric Aral, Nihat Altinkaya, Görkem Sevindik"
823,El marginal,(2016– ),8.3,2263,none,60,"Action, Crime, Drama","Martina Gusman, Gerardo Romano, Claudio Rissi, Nicolás Furtado"
824,Magic for Humans,(2018– ),7.1,2259,none,23,Comedy,"Justin Willman, Jillian Sipkins, Erika Anderson, Marcia Arvidsson"
825,The Jim Gaffigan Show,(2015–2016),7.5,2258,none,30,Comedy,"Jim Gaffigan, Ashley Williams, Michael Ian Black, Caitlin Moeller"
