,name,year,imdb,number_votes,age_rating,genres,directors
623,Slay the Spire,2019,8.0,36,none,"Action, Adventure, Fantasy",Anthony Giovannetti
624,The Town of Light,2016,6.6,36,none,Adventure,Luca Dalcò
625,Adr1ft,2016,8.0,36,none,Sci-Fi,Adam Orth
626,LawBreakers,2017,4.2,36,none,"Action, Sci-Fi",Cliff Bleszinski
627,Human: Fall Flat,2016,6.8,36,none,"Adventure, Comedy, Fantasy",none
628,Tales of Vesperia: Definitive Edition,2019,8.1,35,none,"Action, Adventure, Fantasy",Yoshito Higuchi
629,Free Fire,2017,5.6,35,none,Action,none
630,Just Dance 2018,2017,7.4,35,Livre,"Action, Family, Music",Paola Guitart
631,NBA Live 18,2017,6.9,35,none,Sport,Ryan Santos
632,Rock Band 4,2015,7.2,35,none,Music,Greg LoPiccolo
633,Yuugiou: Dueru rinkusu,2016,7.8,35,none,"Action, Adventure, Fantasy",Gregory Abbey
634,"Guns, Gore & Cannoli",2015,7.5,35,none,Action,none
635,"Sons of Anarchy: The Prospect, Episode 1",2015,8.3,35,none,Drama,Kim Coates
636,Wân pîsu: Kaizoku musou 3,2015,7.2,35,none,"Action, Adventure, Family",none
637,Overcooked 2,2018,8.3,35,none,Adventure,none
638,Tower of Time,2018,8.7,35,none,"Adventure, Fantasy",none
639,The Shapeshifting Detective,2018,7.9,34,none,"Mystery, Sci-Fi, Thriller",Tim Cowles
640,Absolver,2017,5.7,34,none,Action,Pierre de Margerie
641,The Joy of Creation: Reborn,2016,8.1,34,none,Horror,Nikson
642,JoJo's Bizarre Adventure: Eyes of Heaven,2015,7.8,34,none,"Action, Adventure, Drama",Kenei Nakasha
643,The Peanuts Movie: Snoopy's Grand Adventure,2015,6.5,34,none,"Action, Adventure, Family",Noah Schnapp
644,Remnant: From the Ashes,2019,7.1,34,none,Action,Matthew Guzenda
645,Power Rangers: Battle for the Grid,2019,8.0,33,none,"Action, Fantasy",Kyle Higgins
646,Total War: Three Kingdoms,,8.3,33,none,Action,Gaspar Janos
647,Concrete Genie,2019,7.4,33,none,Action,Dominic Robilliard
648,That's You!,2017,7.7,33,none,Family,none
649,Dauntless,2017,6.3,33,none,Fantasy,Kody Sabourin
650,Strange Brigade,2018,6.5,33,none,Action,Henry Douthwaite
651,Five Nights at Candy's,2015,4.4,33,none,Horror,Emil Macko
652,Accounting,2016,8.4,33,none,"Adventure, Comedy, Fantasy",William Pugh
653,Worms W.M.D.,2016,8.0,33,none,Action,Darren Altman
654,Afterparty,2019,7.2,33,none,"Adventure, Comedy, Drama",Janina Gavankar
655,Ancestors: The Humankind Odyssey,2019,5.3,33,none,"Adventure, History, Sci-Fi",Patrice Désilets
656,Final Fantasy XIV: Shadowbringers,2019,8.6,33,none,Action,Naoki Yoshida
657,Boku no hîrô akademia: One's Justice,2018,7.3,32,none,"Action, Adventure",none
658,Wreckfest,2018,7.4,32,none,Sport,none
659,Knowledge Is Power,2017,7.3,32,none,Game-Show,Josh Dean
660,Final Fantasy XV: Comrades,2017,7.6,32,none,Fantasy,Kazuya Takahashi
661,Mario & Ruîji RPG1 DX,2017,8.0,32,none,Action,Shunsuke Kobayashi
662,Five Nights at Candy's 3,2017,4.4,32,none,Horror,Emil Macko
663,One Piece: Burning Blood,2016,7.2,32,10,Adventure,Hiroyuki Kaneko
664,Anno 2205,2015,7.0,32,none,none,Dirk Riegert
665,I Am Bread,2015,6.2,32,none,"Adventure, Comedy",Vince Farquharson
666,Hand of Fate,2015,6.7,32,none,"Action, Adventure, Fantasy",Morgan Jaffit
667,Dejimon sutôrî: Saibâ surûsu,2015,8.0,32,Livre,"Action, Adventure, Sci-Fi",Tetsuya Ookubo
668,NightCry,2016,6.6,32,none,Horror,Takashi Shimizu
669,Outer Wilds,2019,8.3,32,none,"Action, Adventure, Fantasy",Alex Beachum
670,Dirt Rally 2.0,2019,6.5,31,none,"Action, Adventure, Sport",Neil Cole
671,Iconoclasts,2018,6.8,31,none,"Action, Adventure, Comedy",Joakim Konjak Sandberg
672,BlazBlue: Cross Tag Battle,2018,7.4,31,none,"Action, Fantasy",Tomokazu Sugita
673,Aragami,2016,7.1,31,14,"Action, Adventure, Fantasy",none
674,Randal's Monday,2015,7.8,31,none,"Adventure, Comedy, Crime",Mark Estdale
675,Persona 4: Dancing All Night,2015,8.1,31,none,"Comedy, Family, Music",Kazuhisa Wada
676,Tacchi! Kâbi: Sûpâ reinbô,2015,6.0,31,none,none,Kazushige Masuda
677,Cadence of Hyrule,2019,8.0,31,none,"Action, Adventure, Fantasy",Ryan Clark
678,FAR: Lone Sails,2018,8.1,30,none,Adventure,none
679,Shaq Fu: A Legend Reborn,2018,5.8,30,none,"Action, Family, Fantasy",Johnny Alicea
680,Uncanny Valley,2015,5.2,30,none,Horror,Tadej Kupcic
681,Secret of Mana,2018,6.9,30,10,"Adventure, Family, Fantasy",Takahiro Noda
682,Hyrule Warriors Legends,2016,7.1,30,none,"Action, Adventure, Family",Hiroya Usuda
683,Monsutâ hantâ kurosu,2015,7.6,30,none,"Action, Adventure, Family",Yasunori Ichinose
684,Poketoru,2015,6.6,30,none,none,Shunsuke Takagi
685,Overkill's The Walking Dead,2018,4.0,29,none,"Action, Adventure, Horror",Warren Burke
686,Isekai maou to shoukan shoujo no dorei majutsu X: Reverie,2018,7.4,29,none,Romance,none
687,Sword Art Online: Fatal Bullet,2018,6.2,29,none,"Action, Adventure, Sci-Fi",Shuichi Goto
688,The Banner Saga 3,2018,7.9,29,none,Adventure,Alex Thomas
689,OneShot,2016,8.3,29,none,"Adventure, Fantasy, Mystery",none
690,Fear Effect Sedna,2018,7.5,29,none,"Action, Adventure, Crime",Natalie Roers
691,Bound,2016,6.3,29,none,Action,none
692,Ys VIII: Lacrimosa of Dana,2016,8.0,29,none,Adventure,Takayuki Kusano
693,Not a Hero,2015,6.7,29,none,Action,Simon Bennet
694,Grey Goo,2015,8.2,29,none,Sci-Fi,Joe Corrigall
695,Forgotten Memories: Alternate Realities,2015,7.9,29,none,Horror,Chris Darril
696,Tetris Effect,2018,8.4,28,none,Action,Tetsuya Mizuguchi
697,Leisure Suit Larry: Wet Dreams Don't Dry,2018,7.1,28,none,"Animation, Adventure, Comedy",Mark Estdale
698,Marvel Strike Force,2018,7.6,28,none,Action,Shaun Conde
699,Quake Champions,2018,7.3,28,none,"Action, Sci-Fi",Tim Willits
700,HunieCam Studio,2016,7.7,28,none,"Comedy, Fantasy, Romance",Ryan Koons
701,Chuchel,2018,7.1,28,none,"Adventure, Comedy, Fantasy",Jaromír Plachý
702,Darkwood,2017,7.1,28,none,"Adventure, Horror",Guy Another Polish
703,Zula,2015,5.4,28,none,Action,Bora Sivri
704,My Name Is Mayo,2016,4.2,28,none,Adventure,none
705,Mega Man Legacy Collection,2015,7.5,28,none,none,none
706,Homeworld: Deserts of Kharak,2016,7.4,28,none,Sci-Fi,Hayley Sales
707,Devotion,2019,8.1,27,none,Horror,none
708,MLB 19: The Show,2019,6.7,27,none,Sport,Erik Braa
709,Samorost 3,2016,8.1,27,none,Fantasy,none
710,Super Seducer 2,2018,3.9,27,none,"Action, Adventure, Comedy",Artur Lerman
711,Persona 5: Dancing Star Night,2018,7.9,27,none,"Family, Music",Nobuyoshi Miwa
712,Star Wars: Secrets of the Empire,2017,8.0,27,none,Sci-Fi,Curtis Hickman
713,Surviving Mars,2018,6.7,27,none,Fantasy,none
714,TheHunter: Call of the Wild,2017,7.0,27,none,"Action, Adventure, Sport",Peter Johansson
715,Punch Club,2016,6.8,27,none,"Action, Sport",none
716,Fatal Frame. View in the Dark,2015,8.1,27,none,"Adventure, Horror, Thriller",Sergey A.
717,Pathfinder: Kingmaker,2018,8.0,27,none,"Action, Adventure, Fantasy",Alexander Mishulin
718,Dorôn to desu,2017,4.3,27,none,Action,none
719,Snipperclips,2017,7.1,27,none,"Adventure, Family",Adam Vian
720,Star Wars Rebels: Recon Missions,2015,6.3,27,none,"Action, Fantasy, Sci-Fi",Hez Chorba
721,Sutâ ôshan 5: Integrity and Faithlessness,2016,6.9,27,12,"Adventure, Family, Fantasy",Hiroshi Ogawa
722,Dark Deception,2018,8.2,26,none,"Adventure, Horror",Vince Livings
723,Naruto to Boruto: Shinobi Striker,2018,7.3,26,none,"Action, Adventure, Fantasy",Katsunori Ehara
724,Little Witch Academia: Toki no Maho to Nana Fushigi,2017,6.9,26,14,"Animation, Action, Adventure",Hideaki Mizota
725,Poochy & Yoshi's Woolly World,2017,7.9,26,none,Adventure,Kazumasa Yonetani
726,The Final Station,2016,7.0,26,none,Horror,none
727,Rebel Galaxy,2015,6.0,26,none,Sci-Fi,Lani Minella
728,Doragon bôru Z: Dokkan batoru,2015,7.3,26,none,Action,none
729,Kenka banchou: Otome,2016,7.2,26,none,"Animation, Action",Ai Ito
730,The Flame in the Flood,2016,6.5,26,none,"Action, Adventure, Thriller",none
731,Gen'ei ibunroku #FE,2015,7.3,26,none,"Action, Adventure, Comedy",Kaori Ando
732,Destiny 2: New Light,2019,7.4,26,none,"Action, Adventure, Fantasy",none
733,One Piece: World Seeker,2019,6.2,26,none,"Action, Adventure",Makoto Baba
734,Visage,2018,7.8,25,none,Horror,Matina Steiner
735,Super Seducer,2018,3.8,25,none,"Documentary, Romance",Ludmila Vasilevich
736,The Messenger,2018,7.7,25,none,"Action, Adventure",Thierry Boulanger
737,Grim Dawn: Ashes of Malmouth,2017,8.4,25,none,Horror,Kris Carr
738,Job Simulator: the 2050 archives,2016,7.9,25,none,Comedy,Alex Schwartz
739,Halo Wars 2: Awakening the Nightmare,2017,7.4,25,none,"Action, Adventure, Horror",Alistair Hope
740,Left Alive,2019,4.6,25,none,"Action, Sci-Fi",Toshifumi Nabeshima
741,The Room Three,2015,8.2,25,none,Adventure,none
742,Sôdo âto onrain: Horou riarizêshon,2016,7.4,25,none,Action,Natsuki Hanae
743,Sutâ fokkusu gâdo,2016,7.5,25,none,Action,Yugo Hayashi
744,Guilty Gear Xrd: Revelator,2016,7.1,25,none,"Action, Adventure, Fantasy",Dan Rubida
745,Press X to Not Die,2015,6.4,25,none,"Action, Comedy",Trevor Tablotney
746,Minions Paradise,2015,6.3,25,none,Comedy,Pierre Coffin
747,Bear with Me: Episode One,2016,8.2,25,none,"Adventure, Horror, Mystery",Andrej Kovacevic
748,Code Name: S.T.E.A.M.,2015,6.2,25,none,"Action, Fantasy, Sci-Fi",Paul Patrashcu
749,Sea of Solitude,2019,7.8,25,none,"Adventure, Fantasy",Cornelia Geppert
750,Donut County,2018,6.9,24,none,none,none
751,Realm Royale,2018,6.8,24,none,Action,Caitlyn Elizabeth
752,Simulacra,2017,7.8,24,none,Thriller,Wendy Van Horen Carneiro
753,Monster Prom,2018,8.0,24,none,Comedy,Arin Hanson
754,Lone Echo,2017,8.1,24,none,Adventure,Dana Jan
755,Transference,2018,7.0,24,none,"Adventure, Thriller",Benoit Richer
756,The End Is Nigh,2017,7.1,24,none,"Action, Adventure, Comedy",Tyler Glaiel
757,Five Nights at Candy's 2,2016,4.8,24,none,Horror,Emil Macko
758,Aidorumasutâ Mirion raibu!: Shiatâ deizu,2017,2.1,24,none,Music,none
759,Alone in the Dark: Illumination,2015,1.7,24,none,"Action, Adventure, Horror",Michael Allar
760,Con Man: The Game,2016,8.0,24,none,"Animation, Adventure, Comedy",Felicia Day
761,Kung Fu Panda: Showdown of Legendary Legends,2015,5.4,24,none,Action,Max Koch
762,Hungry Shark World,2016,7.4,24,none,"Action, Adventure, Comedy",none
763,Disgaea 5: Alliance of Vengeance,2015,7.7,24,none,"Adventure, Family, Fantasy",Mamoru Miyano
764,GivingTales,2015,8.5,24,none,Family,Klaus Lovgreen
765,"Invisible, Inc.",2015,6.3,24,none,"Adventure, Sci-Fi, Thriller",Lisa Ann Beley
766,Vikings: Wolves of Midgard,2017,6.5,24,none,"Action, Fantasy",Eileen Atkins
767,Close to the Sun,2019,7.1,24,none,"Adventure, Horror",Emily Moment
768,Mario & Sonikku at Tôkyô 2020 orinpikku,2019,7.2,24,Livre,"Family, Sport",Naohiro Hirao
769,Raid: World War II,2017,2.6,23,none,Action,Ilija Petrusic
770,My Time at Portia,2018,7.5,23,none,Adventure,Zhi Xu
771,Emily Wants to Play,2015,5.5,23,none,Horror,Shawn Hitchcock
772,Doubutsu no mori: Poketto kyanpu,2017,6.0,23,none,none,Sensui Kazuyoshi
773,Blameless,2016,7.0,23,none,Horror,Vaclav Hudec
774,Blasphemous,2019,7.9,23,none,"Action, Horror",Enrique Cabeza
775,Troll and I,2017,2.7,23,14,Adventure,Huw Samuel
776,Psycho-Pass: Mandatory Happiness,2015,5.9,23,none,"Crime, Sci-Fi",Akira Ishida
777,Sword Art Online: Lost Song,2015,5.8,23,none,Animation,Chinatsu Akasaki
778,"Warhammer 40,000: Inquisitor - Martyr",2017,7.8,23,none,"Action, Adventure, Sci-Fi",Madison Brunoehler
779,Inishie to yuki no Setsuna,2016,7.1,23,none,"Animation, Action, Adventure",Atsushi Hashimoto
780,Master of Orion: Conquer the Stars,2016,7.0,23,none,Sci-Fi,Alan Tudyk
781,Anna's Quest,2015,7.5,23,none,Adventure,Dane Krams
782,NBA Live 16,2015,4.7,23,none,Sport,Ronen Lanovoi
783,Skyforge,2015,7.9,23,none,Action,Alexander Mishulin
784,DreadOut: Act II,2015,7.3,23,none,Horror,Rachmad Imron
785,Vader Immortal: A Star Wars VR Series - Episode I,2019,7.9,23,none,Sci-Fi,Ben Snow
786,Kill La Kill If,2019,8.3,23,none,"Animation, Action, Comedy",Hideaki Mizota
787,Hotel Transylvania 3: Monsters Overboard,2018,5.6,22,none,Adventure,Brock Powell
788,The Elder Scrolls: Blades,2019,4.5,22,none,"Action, Adventure, Fantasy",Todd Howard
789,Two Point Hospital,2018,7.4,22,none,Comedy,Marc Silk
790,State of Mind,2018,6.9,22,none,"Mystery, Sci-Fi, Thriller",Martin Ganteföhr
791,Mario Party: The Top 100,2017,6.1,22,none,"Action, Adventure, Family",Tsutomu Komiyama
792,Lorelai,2019,7.9,22,none,Horror,Remigiusz Michalski
793,Beyond Skyrim: Bruma,2017,8.6,22,none,Fantasy,Caitlin Buckley
794,A King's Tale: Final Fantasy XV,2016,6.1,22,none,"Action, Adventure, Fantasy",Cord Smith
795,Robinson: The Journey,2016,7.8,22,none,Adventure,Mark Estdale
796,Tom Clancy's the Division: Operation ISAC,2016,6.5,22,none,Action,Kevin T. Willson
797,Kopusu Pati Buraddo kaba Ripitiddo fia,2015,7.5,22,none,"Adventure, Horror",Makoto Kedouin
798,Beyond Eyes,2015,4.9,22,none,Adventure,Sherida Halatoe
799,Nancy Drew: Sea of Darkness,2015,8.1,22,none,"Adventure, Mystery",Tim Burke
800,Hektor,2015,8.4,22,none,Horror,Felix Nordanåker
801,Bureiburî sekando,2015,8.1,22,none,"Adventure, Family, Fantasy",Chris Borders
802,Shadow of the Beast,2016,7.3,22,none,Action,none
803,The Surge 2,2019,7.7,22,none,"Action, Sci-Fi",James Lowe
804,Badiya: Desert Survival,2016,4.6,22,none,"Action, Adventure",none
805,Draugen,2019,7.2,22,none,Mystery,Nicholas Boulton
806,Blacksad: Under the Skin,2019,8.4,22,none,Mystery,Ramón Hernáez
807,Freeman: Guerrilla Warfare,2018,8.4,22,none,"Action, War",none
808,The Lego Ninjago Movie Videogame,2017,6.0,21,none,"Action, Comedy, Family",Jamie Eden
809,Granny,2018,6.7,21,none,Horror,Dennis Vukanovic
810,The Elder Scrolls: Legends,2017,7.4,21,none,none,Iain McCaig
811,Travis Strikes Again: No More Heroes,2019,7.3,21,none,Action,Suda 51
812,Agar.io,2015,6.1,21,none,Action,none
813,Extinction,2018,4.0,21,none,"Animation, Action, Fantasy",Kraig Kujawa
814,Senran Kagura: Estival Versus,2015,7.6,21,none,"Action, Adventure, Comedy",Ken'ichiro Takaki
815,Fate/Grand Order,2015,7.9,21,none,Action,Akina Abe
816,Blues and Bullets,2015,7.2,21,none,Adventure,Mark Estdale
817,Shin Megami Tensei IV: Apocalypse,2016,7.5,21,none,Action,Satoshi Ooyama
818,Trove: A Voxel Builder MMO,2015,6.1,21,none,none,none
819,Debiruzu sâdo,2015,5.1,21,none,"Action, Adventure, Crime",Tomonobu Itagaki
820,Dancing Girl,2019,1.9,21,none,Action,none
821,Green Hell,2018,5.1,21,none,Adventure,Mike Bodie
822,Silicon Zeroes,2017,8.4,21,none,none,none
823,Thief Simulator,2018,4.3,20,none,"Action, Comedy, Crime",none
824,Moss,2018,8.5,20,none,Adventure,Morla Gorrondona
825,Star Wars 1313,2015,7.5,20,none,Sci-Fi,Dominic Robilliard
826,Ghost of a Tale,2018,8.2,20,none,Adventure,Lionel Gallat
827,Echo,2017,7.2,20,none,"Action, Sci-Fi, Thriller",Martin Emborg
828,Portal Knights,2016,6.0,20,none,Action,none
829,Mobile Legends: Bang Bang,2016,6.7,20,none,"Action, Adventure, Fantasy",Kai Yu
830,Ultimate Chicken Horse,2016,8.2,20,none,none,none
831,SpellForce 3,2017,8.6,20,none,Fantasy,Jennifer Armour
832,The Invisible Hours,2017,8.0,20,none,Mystery,Raúl Rubio Munárriz
833,.hack//G.U. Last Recode,2017,7.8,20,none,"Animation, Action, Drama",Hiroshi Matsuyama
834,WRC 5: FIA World Rally Championship,2015,6.5,20,none,Sport,none
835,WRC 6,2017,6.5,20,none,Sport,Ott Tänak
836,Bear with Me: Episode Two,2017,8.3,20,none,"Adventure, Horror, Mystery",Hrvoje Maros
837,Pac-Man 256,2015,7.2,20,none,Action,none
838,Don't Starve: Shipwrecked,2016,8.7,20,none,none,none
839,The Evil Within: The Consequence,2015,7.1,20,none,Action,none
840,Futurama: Game of Drones,2016,7.5,20,none,"Comedy, Sci-Fi",John DiMaggio
841,Lara Croft: Relic Run,2015,7.8,20,none,"Action, Adventure",Abigail Stahlschmidt
842,God Eater 2: Rage Burst,2015,7.0,20,12,"Action, Adventure, Sci-Fi",Kou Yoshimura
843,Chroma: Sexy Hentai Girls,2018,6.2,20,none,none,none
844,Millennium Falcon: Smugglers Run,2019,6.9,20,none,"Adventure, Sci-Fi",Jim Cummings
845,Kingdom Rush Frontiers,2016,8.6,19,none,Fantasy,Alvaro Azofra
846,Prey: Mooncrash,2018,6.7,19,none,"Action, Sci-Fi, Thriller",Ricardo Bare
847,VA-11 Hall-A,2016,8.2,19,14,Sci-Fi,none
848,Doragonbôru rejenzu,2018,8.3,19,none,Action,Morgan Berry
849,Rising Storm 2: Vietnam,2017,7.5,19,none,War,Taylor Brooks
850,Space Hulk: Deathwing,2016,7.4,19,16,"Action, Sci-Fi, Thriller",Jonathan Cacherat
851,Miitopia,2016,8.1,19,none,"Adventure, Fantasy, Romance",Yuichiro Ito
852,Dragon Quest Heroes II,2016,7.4,19,none,"Adventure, Family, Fantasy",Tomohiko Sho
853,Event 0,2016,7.4,19,none,"Adventure, Sci-Fi, Thriller",Emmanuel Corno
854,The Evil Within: The Assignment,2015,6.9,19,none,Action,none
855,Star Trek Timelines,2016,7.5,19,none,Sci-Fi,Nicole de Boer
856,White Night,2015,7.4,19,none,"Horror, Mystery, Thriller",Rob King
857,Superliminal,2019,8.3,19,none,Adventure,Albert Shih
858,Ai: Somuniumu Fairu,2019,8.3,19,none,"Adventure, Crime, Mystery",Kotaro Uchikoshi
859,The Walking Dead: The Telltale Definitive Series,2019,8.1,19,none,Horror,none
860,Power & Revolution: Geopolitical Simulator 4,2019,6.2,19,none,"Action, War",none
861,Life is Feudal: Forest Village,2017,5.2,19,none,Action,none
862,Mordhau,2019,6.9,19,none,"Action, War",none
863,Pokemon masutâzu,2019,6.3,19,none,Animation,Takahiro Kawai
864,Salt and Sanctuary,2016,7.9,18,none,"Action, Adventure, Horror",none
865,Final Fantasy XV: Episode Ardyn,2019,7.4,18,none,"Action, Adventure",Toru Osanai
866,Just Dance 2019,2018,7.2,18,Livre,"Family, Music",none
867,Kona,2017,7.3,19,none,"Adventure, Horror, Mystery",Guy Nadon
868,The Beast Inside,2019,7.3,18,none,Horror,Lukasz Smaga
869,Blaster Master Zero,2017,6.4,18,none,"Action, Adventure, Sci-Fi",Satoru Nishizawa
870,Slither.io,2016,6.1,18,none,Family,none
871,Berserk and the Band of the Hawk,2016,6.8,18,none,"Action, Fantasy",Satomi Arai
872,The Angry Video Game Nerd Adventures II: ASSimilation,2016,7.6,18,none,"Action, Adventure, Comedy",Chad James
873,Animal Crossing: Amiibo Festival,2015,3.1,18,none,"Adventure, Comedy, Family",Aya Kyogoku
874,Terminator Genisys: Revolution,2015,4.0,18,none,Sci-Fi,none
875,Star Wars: Uprising,2015,7.5,18,none,"Fantasy, Sci-Fi",Kody Sabourin
876,Ion Maiden,2019,7.8,18,none,"Action, Comedy, Crime",Richard Gobeille
877,Demon's Rise - Lords of Chaos,2018,8.7,18,none,"Action, Adventure, Fantasy",none
878,Rabbit Burn,2018,2.0,18,none,Action,none
879,Legends of Dawn Reborn,2015,1.9,18,none,"Action, Adventure, Fantasy",none
880,Play with Kizami,2018,6.2,18,none,Romance,none
881,Mario & Luigi RPG3 DX,2018,7.1,17,none,"Action, Fantasy",Shunsuke Kobayashi
882,Moonlighter,2018,6.7,17,none,"Action, Adventure, Fantasy",David Fernández
883,Persona 3: Dancing Moon Night,2018,8.3,17,none,"Family, Music",Nobuyoshi Miwa
884,Orwell: Ignorance Is Strength,2018,6.3,17,none,Adventure,Mat Dwyer
885,Rules of Survival,2017,7.8,17,none,Action,none
886,Star Trek: Bridge Crew,2017,7.8,17,none,"Adventure, Family, Sci-Fi",Brian Tate
887,New Minna No Golf,2017,7.8,17,none,Sport,none
888,White Day: A Labyrinth Named School,2017,7.2,17,none,Horror,Lee Wonsool
889,Goosebumps: The Game,2015,5.7,17,none,Mystery,none
890,Boku no hîrô akademia: Sumasshu tappu,2017,8.4,17,none,Action,none
891,Beyond Despair,2017,7.0,17,none,Horror,Jeni Dean
892,Through the Woods,2016,6.5,17,none,"Adventure, Horror",none
893,Maize,2016,7.1,17,none,Adventure,Tony Daniels
894,Os Cavaleiros do Zodíaco: Alma dos Soldados,2015,8.1,17,none,"Action, Adventure, Fantasy",none
895,God Eater: Resurrection,2015,6.2,17,none,"Action, Adventure, Sci-Fi",Hiroshi Yoshimura
896,The Evil Within: The Executioner,2015,6.1,17,none,Action,none
897,Stasis,2015,7.4,17,none,"Horror, Sci-Fi",Christopher Bischoff
898,Gravity Daze 2,2017,7.7,17,none,Action,none
899,Tembo the Badass Elephant,2015,6.2,17,none,"Action, Comedy, Fantasy",James Turner
900,Fragments of Him,2016,6.8,17,none,"Drama, Romance",Mata Haggis
901,Dex,2015,7.4,17,none,Sci-Fi,Jan Jirkovský
902,Seduce Me,2015,8.5,17,none,Romance,Michaela Laws
903,OlliOlli2: Welcome to Olliwood,2015,5.9,17,none,Action,none
904,Darksiders Genesis,2019,8.3,17,none,Action,Joe Madureira
905,River City Girls,2019,7.4,17,none,Action,Adam Tierney
906,Trine 4: The Nightmare Prince,2019,8.1,17,none,"Action, Adventure, Family",none
907,Totally Accurate Battle Simulator,2019,8.2,17,none,"Action, Comedy, War",none
908,Kingdom Rush Origins,2017,8.6,16,none,Fantasy,Alvaro Azofra
909,Doragon kuesuto birudâzu 2: Hakaishin Shidô to karappo no shima,2018,8.2,16,none,Adventure,Kazuya Ninou
910,Total War Saga: Thrones of Britannia,2018,7.2,16,none,"History, War",Jack Lusted
911,Tricky Towers,2016,6.6,16,none,Fantasy,Samar Louwe
912,Hidden Folks,2017,7.9,16,none,none,none
913,Everything,2017,8.1,16,none,"Adventure, Drama, Sci-Fi",David O'Reilly
914,Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy,2017,6.8,16,none,"Action, Crime, Mystery",Akihiro Hino
915,Valley,2016,7.6,16,none,Adventure,Alex Tintor
916,Re: Zero kara hajimeru isekai seikatsu: Death or Kiss,2017,7.9,16,none,"Adventure, Comedy, Fantasy",none
917,Paradigm,2017,8.3,16,none,"Adventure, Comedy, Drama",Jacob Janerka
918,Home Sweet Home,2017,6.6,16,none,Horror,Saroot Tubloy
919,Postal Redux,2016,7.6,16,none,Action,Rick Hunter
920,Rambo the Video Game: Baker Team,2016,4.2,16,none,Action,Piotr Latocha
921,Boku no hîrô akademia: Batoru fô ôru,2016,7.6,16,none,"Animation, Action",none
922,Fat Princess Adventures,2015,6.6,16,none,Action,James D. Mortellaro
923,Flying Tigers: Shadows Over China,2017,8.6,16,none,"Action, Adventure, History",Björn Larsson
924,Volume,2015,7.1,16,none,Action,Mike Bithell
925,Speedy Sanic,2015,8.3,16,none,Adventure,Joseph Wharmby
926,Jurassic World: The Game,2015,7.1,16,none,"Action, Adventure",none
927,Conker's Big Reunion,2015,6.3,16,none,"Action, Adventure",Chris Seavor
928,The Incredible Adventures of Van Helsing III,2015,6.7,16,none,Adventure,John Nelson
929,Project X Zone 2,2015,8.0,16,none,"Action, Adventure, Comedy",Souichirou Morizumi
930,Little Misfortune,2019,8.3,16,none,"Adventure, Horror",Natalia Figueroa
931,Grid,2019,6.5,16,none,"Action, Adventure",Christopher Dane
932,Deliver Us The Moon: Fortuna,2018,7.3,15,none,"Action, Adventure, Sci-Fi",Koen Deetman
933,35MM,2016,6.9,15,none,"Adventure, Drama, Horror",Sergey Noskov
934,Death's Gambit,2018,6.6,15,none,Action,Matthew Mercer
935,Manual Samuel,2016,6.8,15,none,Adventure,Ozan Drøsdal
936,Sega Genesis Classics,2018,8.1,15,none,Action,none
937,Copong,2016,8.4,15,none,Animation,Pedram Goshtasbpour
938,Shadow Fight 3,2017,7.8,15,none,Action,none
939,The Count Lucanor,2016,7.6,15,none,Horror,Clement Caignart
940,Shuyan Saga,2017,7.6,15,none,Action,Leigh Cameron
941,Barbie and Her Sisters: Puppy Rescue,2015,6.2,15,none,Family,Wes Swales
942,Hacknet,2015,6.7,15,none,none,none
943,Wilson's Heart,2017,7.1,15,none,"Adventure, Mystery, Thriller",Josh Bear
944,Ever Oasis,2017,8.3,15,none,Action,Kôichi Ishii
945,Dead or Alive Xtreme 3,2016,6.5,15,none,"Action, Adventure, Family",Yohei Shimbori
946,Teenage Mutant Ninja Turtles: Portal Power,2016,6.3,15,none,Action,Seth Green
947,Dropsy,2015,8.0,15,none,Adventure,Jesse Bull
948,Jurassic Park Arcade,2015,7.3,15,none,"Action, Adventure, Sci-Fi",none
949,Dead Synchronicity,2015,6.7,15,none,Adventure,Jeremiah Costello
950,Oath of Genesis,2015,4.5,15,none,"Action, Adventure, Fantasy",Keval Pandya
951,Zombie Vikings,2015,6.3,15,none,"Action, Adventure, Comedy",Andreas Beijer
952,Stranger Things VR,2017,8.0,15,none,Thriller,George Bloom
953,Harry Potter: Wizards Unite,2019,7.3,15,none,Fantasy,Kyle McCarley
954,Lego Worlds,2017,5.7,15,Livre,"Adventure, Family",John Hodskinson
955,The Storm Guard: Darkness is Coming,2016,7.8,15,none,"Action, Adventure, Fantasy",none
956,11-11: Memories Retold,2018,7.7,14,none,"Drama, War",Yoan Fanise
957,The First Tree,2017,6.7,14,none,Adventure,David Wehle
958,Hades,2018,8.6,14,none,Action,Logan Cunningham
959,Arena of Valor,2016,7.9,14,none,Animation,Ashley Adler
960,The Pillars of the Earth,2017,8.2,14,16,Adventure,Matthias Kempke
961,PUBG Global Invitational Berlin 2018,2018,4.5,14,none,Game-Show,Pasquale Roedel
962,Mario + Rabbids Kingdom Battle: Donkey Kong Adventure,2018,7.2,14,none,Adventure,Davide Soliani
963,Jotun,2015,6.3,14,none,Adventure,Will Dubé
964,Resident Evil: Origins Collection,2016,7.6,14,none,"Action, Fantasy, Horror",none
965,Accounting+,2017,7.6,14,none,"Adventure, Comedy, Horror",William Pugh
966,My Summer Car,2016,8.1,14,none,"Comedy, Sport",Johannes Rojola
