,name,year,imdb,number_votes,age_rating,genres,directors
97,Crash Bandicoot N. Sane Trilogy,2017,8.6,994,Livre,"Action, Adventure, Comedy",Dan Tanguay
98,Hitokui no ôwashi toriko,2016,8.4,975,12,"Action, Adventure, Family",Fumito Ueda
99,Shadow of the Colossus,2018,8.9,966,none,"Action, Adventure, Fantasy",Fumito Ueda
100,The Walking Dead: The Final Season,2018,8.7,963,none,"Action, Adventure, Drama",Vahram Antonian
101,Apex Legends,2019,7.3,955,14,"Action, Sci-Fi",JB Blanc
102,A Way Out,2018,8.1,941,16,"Action, Adventure, Crime",Josef Fares
103,Metro Exodus,2019,8.2,922,16,"Action, Adventure, Horror",Andrew Prokhorov
104,Batman: The Enemy Within,2017,8.6,921,none,"Action, Crime, Drama",Sean Manning
105,The Divergent Series: Insurgent - Shatter Reality,2015,6.2,913,none,"Short, Action",Cory Strassburger
106,Sekiro: Shadows Die Twice,2019,8.5,912,18,"Action, Adventure, Fantasy",Hidetaka Miyazaki
107,Lego Star Wars: The Force Awakens,2016,8.0,908,none,"Action, Adventure, Comedy",Hez Chorba
108,Devil May Cry 5,2019,8.8,903,16,"Action, Adventure, Fantasy",Hideaki Itsuno
109,Fallout 76,2018,3.3,899,16,"Action, Adventure, Mystery",Todd Howard
110,Little Nightmares,2017,8.4,887,14,"Adventure, Horror",Anna Moberg
111,Friday the 13th: The Game,2017,7.6,878,18,"Horror, Thriller",Randy Greenback
112,Lego Jurassic World,2015,8.0,848,Livre,"Action, Adventure, Comedy",Jon Burton
113,No Man's Sky,2016,5.5,848,10,"Adventure, Family, Fantasy",Sean Murray
114,FIFA 19,2018,6.4,836,Livre,Sport,Dylan Akio Smith
115,Baiohazâdo reberêshonzu 2,2015,7.5,802,none,"Action, Adventure, Horror",Koushi Nakanishi
116,Ori and the Blind Forest,2015,8.9,778,none,"Adventure, Fantasy",Thomas Mahler
117,Minecraft: Story Mode - A Telltale Games Series,2015,6.6,777,none,"Adventure, Comedy, Family",Jason Latino
118,Horizon Zero Dawn: The Frozen Wilds,2017,8.9,770,none,"Action, Fantasy",Mathijs de Jonge
119,Sonic Mania Plus,2018,8.1,767,none,"Action, Adventure, Family",Lynn Harris
120,World of Warcraft: Legion,2016,8.2,764,none,"Action, Adventure, Fantasy",Tom Chilton
121,Batman: Return to Arkham,2016,9.3,761,none,"Action, Adventure, Crime",Sefton Hill
122,Lego Marvel's Avengers,2016,8.1,754,Livre,"Action, Adventure, Comedy",Arthur Parsons
123,StarCraft II: Legacy of the Void,2015,8.8,739,none,Sci-Fi,Dustin Browder
124,Sonic Mania,2017,8.6,734,none,"Animation, Action, Adventure",Lynn Harris
125,Grim Fandango: Remastered,2015,8.8,734,12,Adventure,Tim Schafer
126,The Outer Worlds,2019,8.4,727,16,"Action, Adventure, Sci-Fi",Leonard Boyarsky
127,Resident Evil HD Remaster,2015,8.9,726,none,"Action, Adventure, Horror",Takumi Kataoka
128,Bloodborne: The Old Hunters,2015,9.4,716,none,Action,Hidetaka Miyazaki
129,Mirror's Edge: Catalyst,2016,6.9,693,14,"Action, Adventure, Crime",Tom Keegan
130,Saints Row: Gat Out of Hell,2015,6.4,689,14,"Action, Adventure, Comedy",Daniel Dae Kim
131,Far Cry New Dawn,2019,6.5,687,16,"Action, Adventure, Drama",Jean-Sebastien Decant
132,Everybody's Gone to the Rapture,2015,7.4,675,14,"Action, Adventure, Mystery",Kate Saxon
133,Destiny: The Taken King,2015,8.5,672,none,Sci-Fi,Luke Smith
134,Need for Speed,2015,6.8,669,none,"Crime, Family, Sport",Craig Sullivan
135,Oxenfree,2016,8.1,669,none,"Adventure, Thriller",Adam Hines
136,The Awesome Adventures of Captain Spirit,2018,7.3,661,14,"Adventure, Drama",Raoul Barbet
137,Borderlands 3,2019,8.3,652,none,"Action, Adventure, Comedy",Paul Sage
