,name,year,imdb,number_votes,age_rating,runtime,genres,directors,actors
332,Crashing,(2016– ),7.7,8213,none,30,Comedy,Phoebe Waller-Bridge,"Jonathan Bailey, Julie Dray, Louise Ford, none"
333,Snowfall,(2017– ),8.0,8205,none,44,"Crime, Drama",Damson Idris,"Carter Hudson, Isaiah John, Sergio Peris-Mencheta, none"
334,Kevin Pode Esperar,(2016–2018),5.6,8038,none,30,Comedy,Kevin James,"Taylor Spreitler, Ryan Cartwright, Gary Valentine, none"
335,The Crossing,(2018),7.2,8010,none,42,"Adventure, Drama, Sci-Fi",Steve Zahn,"Natalie Martinez, Tommy Bastow, Rob Campbell, none"
336,The Girlfriend Experience,(2016– ),7.1,8001,none,27,Drama,Riley Keough,"Paul Sparks, Mary Lynn Rajskub, Briony Glassco, none"
337,The Odd Couple,(2015–2017),6.4,7993,none,21,Comedy,Matthew Perry,"Thomas Lennon, Lindsay Sloane, Yvette Nicole Brown, none"
338,A.P. Bio,(2018– ),7.2,7974,none,21,Comedy,Glenn Howerton,"Nick Peine, Jacob Houston, Jean Villepique, none"
339,Channel Zero,(2016–2018),7.2,7967,none,44,"Drama, Fantasy, Horror",Brandon Scott,"Marina Stephenson Kerr, Abigail Pniowsky, Diana Bentley, none"
340,Desenrolados,(2017–2018),6.7,7944,18,30,Comedy,Kathy Bates,"Aaron Moten, Elizabeth Alderfer, Tone Bell, none"
341,Dogs of Berlin,(2018– ),7.5,7905,none,542,"Action, Crime, Drama",Felix Kramer,"Fahri Yardim, Samy Abdel Fattah, Mohamed Issa, none"
342,O Caminho,(2016–2018),7.3,7863,none,60,Drama,Aaron Paul,"Michelle Monaghan, Emma Greenwell, Kyle Allen, none"
343,Battle Creek: Agentes da Lei,(2015),7.3,7853,none,44,"Comedy, Crime, Drama",Josh Duhamel,"Dean Winters, Aubrey Dollar, Edward Fordham Jr., none"
344,Suburra - La serie,(2017–2019),8.0,7843,none,50,"Action, Crime",Alessandro Borghi,"Giacomo Ferrara, Eduardo Valdarnini, Francesco Acquaroli, none"
345,The Brave,(2017–2018),7.6,7807,none,43,"Action, Drama, Thriller",Anne Heche,"Mike Vogel, Tate Ellington, Demetrius Grosse, none"
